Project Name,block_address,query_used,lat,lon,matched_address
RCL CENTRE,11 KEPPEL ROAD,11 KEPPEL ROAD,1.27311087070405,103.842871095268,11 KEPPEL ROAD ABI PLAZA SINGAPORE 089057
BALESTIER TOWERS,207 BALESTIER ROAD,207 BALESTIER ROAD,1.32095396089287,103.852301346749,207 BALESTIER ROAD BT CENTRE SINGAPORE 329683
ORCHARD TOWERS,1 CLAYMORE DRIVE,1 CLAYMORE DRIVE,1.30756236897064,103.829352193027,1 CLAYMORE DRIVE EMBASSY OF ROMANIA SINGAPORE 229594
CHENN LEONN BUILDING,1A ALIWAL STREET,1A ALIWAL STREET,1.30164759613016,103.861250642435,1A ALIWAL STREET CHENN LEONN BUILDING SINGAPORE 199894
ICB SHOPPING CENTRE,8A YIO CHU KANG ROAD,8A YIO CHU KANG ROAD,1.35458411311499,103.877789977988,8A YIO CHU KANG ROAD ICB SHOPPING CENTRE SINGAPORE 545522
QUEENSWAY SHOPPING CENTRE,1 QUEENSWAY,1 QUEENSWAY,1.28759518939869,103.803397287789,1 QUEENSWAY QUEENSWAY SHOPPING CENTRE SINGAPORE 149053
CORONATION SHOPPING PLAZA,587 BUKIT TIMAH ROAD,587 BUKIT TIMAH ROAD,1.32383512178759,103.809999570047,587 BUKIT TIMAH ROAD CORONATION SHOPPING PLAZA SINGAPORE 269707
MIDLINK PLAZA,122 MIDDLE ROAD,122 MIDDLE ROAD,1.29960950187876,103.853118508952,122 MIDDLE ROAD MERCURE SINGAPORE BUGIS SINGAPORE 188973
UNION BUILDING,171 TRAS STREET,171 TRAS STREET,1.27444651846065,103.843929515239,171 TRAS STREET UNION BUILDING SINGAPORE 079025
WIS@CHANGI,116 CHANGI ROAD,116 CHANGI ROAD,1.31647122783973,103.901232839024,116 CHANGI ROAD WIS@CHANGI SINGAPORE 419718
COMMERCE POINT,3 PHILLIP STREET,3 PHILLIP STREET,1.28466221614276,103.849976556144,3 PHILLIP STREET CONSULATE OF THE REPUBLIC OF LITHUANIA SINGAPORE 048693
LIPPO BUILDING,1 PHILLIP STREET,1 PHILLIP STREET,1.28497457584876,103.850025190454,1 PHILLIP STREET ROYAL ONE PHILLIP SINGAPORE 048692
IFPAS BUILDING,7 HONGKONG STREET,7 HONGKONG STREET,1.28746405023468,103.847711699114,7 HONGKONG STREET HOTEL CLOVER 7 HONGKONG STREET SINGAPORE 059650
ROBINSON SQUARE,144 ROBINSON ROAD,144 ROBINSON ROAD,1.27826614361665,103.848149742737,144 ROBINSON ROAD ROBINSON SQUARE SINGAPORE 068908
OKIO,262 BALESTIER ROAD,262 BALESTIER ROAD,1.32213342822747,103.853199661872,262 BALESTIER ROAD OKIO SINGAPORE 329714
CENTROPOD @ CHANGI,80 CHANGI ROAD,80 CHANGI ROAD,1.3163342529209,103.900524938485,80 CHANGI ROAD CENTROPOD @ CHANGI SINGAPORE 419715
PAYA LEBAR SQUARE,60 PAYA LEBAR ROAD,60 PAYA LEBAR ROAD,1.31881487007651,103.892580778514,60 PAYA LEBAR ROAD PAYA LEBAR SQUARE SINGAPORE 409051
ORIENTAL VENTURE BUILDING,711 GEYLANG ROAD,711 GEYLANG ROAD,1.31487379175539,103.889947604393,711 GEYLANG ROAD ORIENTAL VENTURE BUILDING SINGAPORE 389626
PS100,100 PECK SEAH STREET,100 PECK SEAH STREET,1.27585064007043,103.844244849875,"100 PECK SEAH STREET OASIA HOTEL DOWNTOWN, SINGAPORE SINGAPORE 079333"
GRTH BUILDING,66 (ENBLOC) EAST COAST ROAD,66 EAST COAST ROAD,1.30457354662016,103.904203116447,66 EAST COAST ROAD THE FLOW MALL SINGAPORE 428778
ICB ENTERPRISE HOUSE,116 MIDDLE ROAD,116 MIDDLE ROAD,1.29927207170387,103.853507276608,116 MIDDLE ROAD ICB ENTERPRISE HOUSE SINGAPORE 188972
OXLEY TOWER,138 ROBINSON ROAD,138 ROBINSON ROAD,1.27870608494088,103.848418970551,138 ROBINSON ROAD OXLEY TOWER SINGAPORE 068906
EON SHENTON,70 SHENTON WAY,70 SHENTON WAY,1.27388660363944,103.846235542245,70 SHENTON WAY EON SHENTON SINGAPORE 079118
N.A.,289 BEACH ROAD,289 BEACH ROAD,1.3010276538017,103.860566716683,289 BEACH ROAD SINGAPORE 199552
THE ODEON KATONG,11 EAST COAST ROAD,11 EAST COAST ROAD,1.31292468990775,103.925681544385,11 UPPER EAST COAST ROAD SINGAPORE 455205
KEYPOINT,371 BEACH ROAD,371 BEACH ROAD,1.30231590504573,103.862331661034,371 BEACH ROAD CITY GATE SINGAPORE 199597
PARKLANE SHOPPING MALL,35 SELEGIE ROAD,35 SELEGIE ROAD,1.30064530196806,103.849448612005,35 SELEGIE ROAD PARKLANE SHOPPING MALL SINGAPORE 188307
TUNG CENTRE,20 COLLYER QUAY,20 COLLYER QUAY,1.28468928277083,103.852692297865,20 COLLYER QUAY 20 COLLYER QUAY SINGAPORE 049319
