quarter,industry1,industry2,industry3,employment_change,,,,,,
2011-Q4,services,"community, social and personal services",public administration,0.6,,,,,,
2011-Q4,services,"community, social and personal services",education,1.2,,,,,,
2011-Q4,services,"community, social and personal services",health and social services,1.3,,,,,,
2011-Q4,services,"community, social and personal services","arts, entertainment and recreation",2.1,,,,,,
2011-Q4,services,"community, social and personal services","other community, social and personal services",3.1,,,,,,
2011-Q4,others,others,others,0.4,,,,,,
2012-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.1,,,,,,
2012-Q1,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-1.1,,,,,,
2012-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",2.6,,,,,,
2012-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",0.1,,,,,,
2012-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-2,,,,,,
2012-Q1,manufacturing,transport equipment,transport equipment,-0.8,,,,,,
2012-Q1,manufacturing,other manufacturing industries,other manufacturing industries,-0.2,,,,,,
2012-Q1,construction,construction,construction,9.9,,,,,,
2012-Q1,services,wholesale and retail trade,wholesale trade,1.2,,,,,,
2012-Q1,services,wholesale and retail trade,retail trade,0.5,,,,,,
2012-Q1,services,transportation and storage,land transport and supporting services,0.4,,,,,,
2012-Q1,services,transportation and storage,water transport and supporting services,-0.2,,,,,,
2012-Q1,services,transportation and storage,air transport and supporting services,0.7,,,,,,
2012-Q1,services,transportation and storage,other transportation and storage services,1.9,,,,,,
2012-Q1,services,accommodation and food services,accommodation,-0.8,,,,,,
2012-Q1,services,accommodation and food services,food and beverage services,-1.6,,,,,,
2012-Q1,services,information and communications,"telecommunications, broadcasting and publishing",0.2,,,,,,
2012-Q1,services,information and communications,it and other information services,0.6,,,,,,
2012-Q1,services,financial and insurance services,financial services,0.7,,,,,,
2012-Q1,services,financial and insurance services,insurance services,0.6,,,,,,
2012-Q1,services,real estate services,real estate services,1.6,,,,,,
2012-Q1,services,professional services,"legal, accounting and management services",0.2,,,,,,
2012-Q1,services,professional services,architectural and engineering services,0.9,,,,,,
2012-Q1,services,professional services,other professional services,1,,,,,,
2012-Q1,services,administrative and support services,security and investigation,0.2,,,,,,
2012-Q1,services,administrative and support services,cleaning and landscaping,1.1,,,,,,
2012-Q1,services,administrative and support services,other administrative and support services,1,,,,,,
2012-Q1,services,"community, social and personal services",public administration,2.5,,,,,,
2012-Q1,services,"community, social and personal services",education,1.3,,,,,,
2012-Q1,services,"community, social and personal services",health and social services,2.7,,,,,,
2012-Q1,services,"community, social and personal services","arts, entertainment and recreation",-0.5,,,,,,
2012-Q1,services,"community, social and personal services","other community, social and personal services",2.5,,,,,,
2012-Q1,others,others,others,0.3,,,,,,
2012-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.4,,,,,,
2012-Q2,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.1,,,,,,
2012-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3.5,,,,,,
2012-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",0.2,,,,,,
2012-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-0.2,,,,,,
2012-Q2,manufacturing,transport equipment,transport equipment,0.3,,,,,,
2012-Q2,manufacturing,other manufacturing industries,other manufacturing industries,1,,,,,,
2012-Q2,construction,construction,construction,9.7,,,,,,
2012-Q2,services,wholesale and retail trade,wholesale trade,1.9,,,,,,
2012-Q2,services,wholesale and retail trade,retail trade,0.5,,,,,,
2012-Q2,services,transportation and storage,land transport and supporting services,0.6,,,,,,
2012-Q2,services,transportation and storage,water transport and supporting services,0.2,,,,,,
2012-Q2,services,transportation and storage,air transport and supporting services,0.9,,,,,,
2012-Q2,services,transportation and storage,other transportation and storage services,0.5,,,,,,
2012-Q2,services,accommodation and food services,accommodation,-0.8,,,,,,
2012-Q2,services,accommodation and food services,food and beverage services,0.3,,,,,,
2012-Q2,services,information and communications,"telecommunications, broadcasting and publishing",0.1,,,,,,
2012-Q2,services,information and communications,it and other information services,1.5,,,,,,
2012-Q2,services,financial and insurance services,financial services,1.3,,,,,,
2012-Q2,services,financial and insurance services,insurance services,-0.1,,,,,,
2012-Q2,services,real estate services,real estate services,1.3,,,,,,
2012-Q2,services,professional services,"legal, accounting and management services",0.4,,,,,,
2012-Q2,services,professional services,architectural and engineering services,1.1,,,,,,
2012-Q2,services,professional services,other professional services,0.9,,,,,,
2012-Q2,services,administrative and support services,security and investigation,0.4,,,,,,
2012-Q2,services,administrative and support services,cleaning and landscaping,0.8,,,,,,
2012-Q2,services,administrative and support services,other administrative and support services,1.7,,,,,,
2012-Q2,services,"community, social and personal services",public administration,-0.5,,,,,,
2012-Q2,services,"community, social and personal services",education,1.6,,,,,,
2012-Q2,services,"community, social and personal services",health and social services,2.6,,,,,,
2012-Q2,services,"community, social and personal services","arts, entertainment and recreation",-0.7,,,,,,
2012-Q2,services,"community, social and personal services","other community, social and personal services",-,,,,,,
2012-Q2,others,others,others,0.3,,,,,,
2012-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.4,,,,,,
2012-Q3,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.3,,,,,,
2012-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",4.5,,,,,,
2012-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",0.1,,,,,,
2012-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-1,,,,,,
2012-Q3,manufacturing,transport equipment,transport equipment,0.5,,,,,,
2012-Q3,manufacturing,other manufacturing industries,other manufacturing industries,-0.2,,,,,,
2012-Q3,construction,construction,construction,9.8,,,,,,
2012-Q3,services,wholesale and retail trade,wholesale trade,0.8,,,,,,
2012-Q3,services,wholesale and retail trade,retail trade,-0.6,,,,,,
2012-Q3,services,transportation and storage,land transport and supporting services,0.5,,,,,,
2012-Q3,services,transportation and storage,water transport and supporting services,0.3,,,,,,
2012-Q3,services,transportation and storage,air transport and supporting services,0.5,,,,,,
2012-Q3,services,transportation and storage,other transportation and storage services,0.2,,,,,,
2012-Q3,services,accommodation and food services,accommodation,1.1,,,,,,
2012-Q3,services,accommodation and food services,food and beverage services,0.8,,,,,,
2012-Q3,services,information and communications,"telecommunications, broadcasting and publishing",0.1,,,,,,
2012-Q3,services,information and communications,it and other information services,0.7,,,,,,
2012-Q3,services,financial and insurance services,financial services,1.8,,,,,,
2012-Q3,services,financial and insurance services,insurance services,0.4,,,,,,
2012-Q3,services,real estate services,real estate services,1,,,,,,
2012-Q3,services,professional services,"legal, accounting and management services",1.7,,,,,,
2012-Q3,services,professional services,architectural and engineering services,0.9,,,,,,
2012-Q3,services,professional services,other professional services,0.9,,,,,,
2012-Q3,services,administrative and support services,security and investigation,0.2,,,,,,
2012-Q3,services,administrative and support services,cleaning and landscaping,0.3,,,,,,
2012-Q3,services,administrative and support services,other administrative and support services,-0.7,,,,,,
2012-Q3,services,"community, social and personal services",public administration,-0.5,,,,,,
2012-Q3,services,"community, social and personal services",education,1.3,,,,,,
2012-Q3,services,"community, social and personal services",health and social services,1.8,,,,,,
2012-Q3,services,"community, social and personal services","arts, entertainment and recreation",-0.2,,,,,,
2012-Q3,services,"community, social and personal services","other community, social and personal services",-1,,,,,,
